school_id;school_type;name;street;house_number;zip_code;city;administration
410021;Volksschule;Volksschule Allhaming;Allhaming;38;4511;Allhaming;VL Anita Kretschmer (prov. Leiterin)
410162;Neue Mittelschule;Anton Bruckner Neue Mittelschule Ansfelden;Haiderstraße;8;4052;Ansfelden;Dir an NMS Dietmar Lackner
410031;Volksschule;Volksschule Ansfelden;Anton Brucknerstraße;10;4052;Ansfelden;SOL Monika Stummer-Vasak, BEd (prov. Leiterin)
410041;Volksschule;Volksschule Asten;Schulstraße;7;4481;Asten;Dir Sabine Samhaber-Laskowski, BEd
410091;Volksschule;Volksschule Eggendorf;Kirchengasse;3;4622;Eggendorf i.T.;VL Anita Kretschmer (prov. Leiterin)
410046;AHS-Langform;Bundesgymnasium und Bundesrealgymnasium Enns;Hanuschstraße;27;4470;Enns;Mag. Dr. Werner Dietl
410022;Neue Mittelschule;Mittelschule 1 Enns;Maria Anger;6;4470;Enns;OL an NMS Anita Reischl (prov. Leiterin)
410142;Neue Mittelschule;Mittelschule Lauriacum Enns;Hanuschstraße;25;4470;Enns;OL an NMS Petra Partinger (prov. Leiterin)
410094;Polytechnische Schule;Polytechnische Schule Enns;Hanuschstraße;25;4470;Enns;DPTS Thomas Klaus Wintersberger
410101;Volksschule;Volksschule Enns;Kirchenplatz;4;4470;Enns;VD OSR Margarete Horner
410012;Neue Mittelschule;Mittelschule 1 Haid;Schulstraße;5;4053;Haid;Dir an NMS SR Mag. Renate Lechner
410152;Neue Mittelschule;Sportmittelschule 2 Haid;Dr.-Adolf-Schärf-Straße;23;4053;Haid;OL an NMS Martha Mann, BEd (prov. Leiterin)
410121;Volksschule;Volksschule Haid;Schulstraße;5;4053;Haid;VD Andrea Hietler
410051;Volksschule;Volksschule Kremsdorf;Volksheimstraße;11;4053;Haid;VD Gerhard Engleitner
410720;Land- und forstwirtschaftliche Schule;Landwirtschaftliche Berufs- und Fachschule Ritzlhof;Kremstalstraße;125;4053;Haid bei Ansfelden;Ing. Franz Zobl
410131;Volksschule;Volksschule Hargelsberg;Gemeindeplatz;4;4483;Hargelsberg;VOL Carola Griebler (prov. Leiterin)
410141;Volksschule;Volksschule Hofkirchen;Dorfplatz;1;4492;Hofkirchen im Traunkreis;VL Evelyn Riener, BEd (prov. Leiterin)
410151;Volksschule;Käthe-Recheis-Volksschule Hörsching;Schulstraße;3;4063;Hörsching;VOL Ilse Wurzer (prov. Leiterin)
410032;Neue Mittelschule;Mittelschule Hörsching;Franz-Jungmeir-Straße;5;4063;Hörsching;Dir an NMS SR Siegfried Kapl
410161;Volksschule;Volksschule Kematen;Schulstraße;20;4531;Kematen a.d. Krems;Prof. Lisa Slavulj, BEd (prov. Leiterin)
410181;Volksschule;Volksschule Kronstorf;Hauptstraße;58;4484;Kronstorf;VOL Daniela Posch, BEd (prov. Leiterin)
410013;Sonderschule;Allgem. Landessonderschule 1 für lernschwache und leistungsbehinderte Kinder im Kinderdorf St. Isidor;St. Isidor;1;4060;Leonding;SL Birgit Engleder, BEd (prov. Leiterin)
410063;Sonderschule;Allgem. Sonderschule Hart;Limesstraße;6;4060;Leonding;SD OSR Manuela Mager, BEd
410427;Technische Lehranstalt;Höhere Technische Bundeslehranstalt Leonding;Limesstraße;12;4060;Leonding;Dir. Hofrat DI Wolfgang Holzer
410427;Schule für Berufstätige;Höhere Technische Bundeslehranstalt Leonding;Limesstraße;12;4060;Leonding;Dir. DI Wolfgang Holzer
410427;Kolleg;Kolleg für EDV/Organisation;Limesstraße;12;4060;Leonding;
410053;Sonderschule;Landesschulzentrum für Bewegung und Sprache St. Isidor;St. Isidor;17;4060;Leonding;SD Christian Berndorfer
410092;Neue Mittelschule;Mittelschule Doppl;Haidfeldstraße;31;4060;Leonding;Dir an NMS OSR Astrid Retschitzegger, M.A.
410172;Neue Mittelschule;Mittelschule Hart;Limesstraße;2;4060;Leonding;ROL Elisabeth Rumetshofer (prov. Leiterin)
410042;Neue Mittelschule;Musikmittelschule Leonding;Ruflingerstraße;14;4060;Leonding;Dir an NMS OSR Katharina Bindeus
410034;Polytechnische Schule;Polytechnische Schule Leonding;Limesstraße;6;4060;Leonding;OLPTS SR Edith Dieplinger (prov. Leiterin)
410061;Volksschule;Volksschule Doppl;Haidfeldstraße;29;4060;Leonding;VL Maria Kindsthaler, BEd (prov. Leiterin)
410381;Volksschule;Volksschule Haag;Herderstraße;36;4060;Leonding;VD Mag. Maria Theresia Wagner
410371;Volksschule;Volksschule Hart;Limesstraße;4;4060;Leonding;VD OSR Sieglinde Malcher
410191;Volksschule;Volksschule Leonding;Alhartinger Weg;8;4060;Leonding;Dir Dagmar Pree, BEd
410202;Neue Mittelschule;"Mittelschule Neuhofen - Musik & Sport";Brucknerstraße;4;4501;Neuhofen a.d.Kr.;OL an NMS Erich Grasegger, MAS MSc (prov. Leiter)
410201;Volksschule;Volksschule Neuhofen;Schulstraße;5;4501;Neuhofen a.d.Kr.;VD SR Gertrude Wiesinger
410132;Neue Mittelschule;Mittelschule Niederneukirchen;Schulstraße;6;4491;Niederneukirchen;Dir an NMS Bernhard Bögl
410221;Volksschule;Volksschule Niederneukirchen;Schulstraße;1;4491;Niederneukirchen;VD OSR Hermine Pollhammer
410411;Volksschule;"Privatschule ""KOSMO Montessori-Schule"" des Vereins ""KOSMO Montessori-Schule für selbstbestimmtes Lernen""";Oberbucher Straße;13;4064;Oftering;
410411;Neue Mittelschule;"Privatschule ""KOSMO Montessori-Schule"" des Vereins ""KOSMO Montessori-Schule für selbstbestimmtes Lernen""";Oberbucher Straße;13;4064;Oftering;
410231;Volksschule;Volksschule Oftering;Ofteringer Straße;8;4064;Oftering;VD Sonja Anreiter
410112;Neue Mittelschule;Mittelschule Pasching;Stifterstraße;29;4061;Pasching;Dir an NMS Ingrid Sayer, BEd
